Indicator
1.5.2
1.5.3
1.a.2
1.4.1a
1.4.1b
2.1.1
2.2.1
2.2.2
2.5.1
2.a.1a
2.a.1
3.1.1
3.1.2
3.2.1
3.2.2
3.3.1
3.3.2
3.3.3
3.3.5
3.4.1
3.4.2
3.5.2
3.6.1
3.7.1
3.7.2
3.8.1
3.9.3
3.b.1
3.b.2
3.c.1
3.d.1
4.2.2
4.5.1
4.b.1
4.c.1
5.5.1
6.1.1
6.2.1a
6.2.1b
6.6.1
6.a.1
7.1.1
7.1.2
7.2.1
7.3.1
7.a.1
8.1.1
8.2.1
8.4.2a
8.a.1
9.2.1
9.4.1
9.a.1
9.b.1
9.c.1
10.6.1
10.a.1
10.b.1
11.1.1
11.5.2
11.b.1
12.2.2a
13.1.1
15.1.1
15.1.2
15.4.1
15.5.1
15.a.1
16.1.1
16.2.2
16.8.1
17.1.1
17.1.2
17.3.2
17.4.1
17.6.2
17.8.1
17.9.1
17.10.1
17.12.1
17.19.1
